recipient,purpose,term,amount
National Student Legal Defense Network,"To support strategic litigation and regulatory engagement related to predatory lending practices and consumer financial protection issues in the for-profit college industry, as well as provide a non-partisan education resource on potential reforms in the for-profit college industry.",2018 - 2020,"Up To                    $2,248,774"
National Wildlife Federation,To conduct research on the environmental and agricultural impacts of the federal Renewable Fuel Standard.,2017 - 2019,"$1,500,000"
National Women's Law Center,To provide nonpartisan technical support to policymakers and key stakeholders in Kansas and Tennessee to improve access to contraceptive care among uninsured individuals.,2018 - 2021,"$317,600"
New America Foundation,"To serve as a nonpartisan, educational resource on higher education policy issues.",2018 - 2020,"$194,913"
"New Profit, Inc.",To advance Pay for Success Financing.,2013 - 2014,"$210,000"
New Schools for Baton Rouge,"To promote high-quality school options in Baton Rouge, Louisiana.",2016 - 2018,"$9,962,443"
New Schools for Baton Rouge,"To build a unified enrollment system in Baton Rouge, Louisiana, and educate parents about the system.",2017 - 2018,"$515,534"
"New Schools for New Orleans, Inc.","To promote high-quality school options in New Orleans, Louisiana.",2012 - 2015,"$630,000"
"New Schools for New Orleans, Inc.","To promote high-quality school options in New Orleans, Louisiana.",2012 - 2019,"Up To                    $11,414,000"
"New Schools for New Orleans, Inc.","To promote high-quality school options in New Orleans, Louisiana.",2014 - 2018,"$4,500,000"
"New Schools for New Orleans, Inc.","To promote high-quality school options in New Orleans, Louisiana.",2016 - 2018,"$1,547,000"
"New Schools for New Orleans, Inc.",To support Orleans Parish School Board's efforts to quantify the impact of current education policies related to equity and fairness in schools.,2017 - 2018,"$90,000"
New Schools Venture Fund,To help develop high-quality teachers and technology resources.,2011 - 2012,"$118,000"
New Schools Venture Fund,To help develop and launch high-quality schools across the United States.,2016 - 2018,"$4,266,667"
New Schools Venture Fund,To conduct research on education technology.,2011,"$14,700"
New Venture Fund,To fund the Scholarly Publishing and Academic Resources Coalition's OpenCon conference.,2016 - 2017,"$50,000"
New Venture Fund,"To fund the launch of the Open Research Funders Group, a partnership designed to increase access to research outputs.",2016 - 2017,"$25,000"
New Venture Fund,To provide planning support for the Scholarly Publishing and Academic Resources Coalition.,2016 - 2017,"$162,000"
New Venture Fund,To support the Scholarly Publishing and Academic Resources Coalition.,2017 - 2019,"$700,000"
New Venture Fund,"To support the Fines and Fees Justice Center, with the overall goal of increasing fairness in the criminal justice system.",2018 - 2020,"Up To                    $2,000,000"
"New York City Criminal Justice Agency, Inc.",To investigate the impact of pretrial detention on different defendant populations in New York City.,2018 - 2022,"$743,914"
New York University,"To create a map representing the evidence base for opioid use disorder treatment in the United States by categorizing interventions by characteristics like primary outcome, length of follow up, population, and context.",2018 - 2020,"$105,626"
New York University,To support a randomized controlled trial evaluating the effectiveness of extended-release naltrexone on opioid relapse and recidivism in the New York City pre-release jail population.,2018 - 2022,"Up To                    $680,864"
New York University,To develop a slate of nonpartisan reforms designed to improve reviews of federal agencies' rulemaking proposals to help ensure that new federal regulations increase social welfare.,2016 - 2017,"$185,000"
New York University,To fund a law enforcement convening.,2015 - 2016,"$25,000"
New York University,"To develop a platform and learning process to advance the use of data in federal, state, and local decision making.",2016 - 2018,"$1,244,010"
New York University,"To fund BetaGov, a project that supports practitioner-led randomized controlled trials related to criminal justice policies.",2016 - 2018,"$2,026,130"
New York University,To fund a low-cost randomized controlled trial of career and technical education programs in New York City high schools.,2017 - 2019,"Up To                    $299,973"
New York University,To conduct a pilot of the Graduated Reintegration approach to re-entry.,2016 - 2020,"$1,657,303"
New York University,"To create a map representing the evidence base for opioid use disorder treatment in the United States by categorizing interventions by characteristics like primary outcome, length of follow up, population, and context.",2018 - 2020,"$105,626"
New York University,To support a randomized controlled trial evaluating the effectiveness of extended-release naltrexone on opioid relapse and recidivism in the New York City pre-release jail population.,2018 - 2022,"Up To                    $680,864"
Nonprofit Finance Fund,To advance Pay for Success Financing.,2014 - 2015,"$343,660"
Nonprofit Finance Fund,To advance Pay for Success Financing.,2014 - 2019,"$1,080,000"
Nonprofit Finance Fund,To support the Pay for Success Learning Hub.,2016 - 2017,"$350,000"
Nordic Cochrane Centre,To conduct meta-research on anti-depressants in order to promote transparency and openness in medical research.,2014 - 2018,"$332,489"
Nordic Cochrane Centre,To conduct meta-research on clinical trial protocols in order to promote transparency and openness in medical research.,2015 - 2019,"$271,902"
North American Council for Online Learning Ltd.,To support digital learning.,2011 - 2012,"$291,088"
North American Council for Online Learning Ltd.,To support digital learning.,2012 - 2014,"$300,000"
North Carolina State University,To support research on annuity options offered by state-managed retirement systems.,2017 - 2019,"$162,045"
North Carolina State University,"To fund a randomized controlled trial of Healthy Minds, a growth mindset intervention for high school students designed to reduce rates of clinical depression.",2018 - 2022,"$499,314"
Northwestern University,To identify school practices and policies that are promising candidates for rigorous evaluation.,2016 - 2019,"$458,815"
Nuclear Innovation Alliance,To provide recommendations on federal energy policies that advance the development and lower the cost of emission-free energy sources.,2017 - 2019,"Up To                    $543,429"
Nurse Family Partnership,To support three randomized controlled trials of a nurse home visiting program.,2015 - 2018,"$404,206"
Nutrition Science Initiative,To support a randomized controlled trial to assess whether a sugar-free diet can reverse the effects of nonalcoholic fatty liver disease.,2015 - 2017,"$1,224,374"
Nutrition Science Initiative,To provide general operating support.,2016 - 2017,"$1,003,406"
Nutrition Science Initiative,To support high-quality nutrition research.,2012 - 2014,"$3,577,875"
Nutrition Science Initiative,To support high-quality nutrition research.,2013 - 2017,"$23,199,065"
Ohio State University Foundation,To conduct a random assignment intervention that uses an integrated service delivery model to provide case management and employment services to low-income adults in Ohio.,2016 - 2020,"$760,412"
"Oklahoma Council of Public Affairs, Inc.",To analyze the state of Oklahoma's pension plans.,2013 - 2014,"$50,000"
One Hope United,To advance Pay for Success Financing.,2015 - 2017,"$672,848"
Open Justice Broker Consortium,To support data-driven decision making in the criminal justice system.,2014 - 2017,"$236,685"
Oregon Health & Science University,To evaluate the impact of providing incentives for contraceptive use.,2018 - 2021,"$554,705"
Oregon Health & Science University,To evaluate a statewide policy in Oregon allowing pharmacists to prescribe hormonal contraception to patients without a physician visit.,2018 - 2022,"$1,248,251"
Oregon Health & Science University,To support efforts to improve the Medicaid drug purchasing process through research and design of value-based payment models.,2016 - 2017,"$1,582,837"
Oregon Health & Science University,To fund the State Medicaid Alternative Reimbursement and Purchasing Test for High-Cost Drugs Initiative.,2017 - 2018,"$597,880"
Oregon Health & Science University,"To fund the development of a centralized repository of documented medical practices that have been contradicted by rigorous, high-quality evaluations.",2017 - 2020,"$2,071,166"
Oregon Health & Science University,"To support the Donor Management Research Initiative in its efforts to maximize the quality and quantity of life-saving organs, and to build a national, web-based donor management data registry.",2016 - 2021,"Up To                    $3,231,660"
"Organ Alliance, Inc.",To help identify innovative solutions that will increase the number of organ transplants and eliminate the wait list for donors.,2015 - 2016,"$169,566"
"Organ Alliance, Inc.",To support efforts to increase the number of organ donors in the United States and reduce the number of individuals on the waiting list.,2016 - 2018,"$592,500"
Pacific Business Group on Health,To identify and disseminate innovative alternative health care payment models.,2015 - 2018,"Up To                    $1,702,079"
"Parent Coalition for Excellent Education, Inc.","To support the launch of grantee's office in Camden, New Jersey.",2016,"$300,000"
"Parent Revolution, Inc.",To support parents' rights to access high-quality schools for their children.,2012 - 2013,"$1,500,000"
"Parent Revolution, Inc.",To support parents' rights to access high-quality schools for their children.,2013 - 2015,"$3,000,000"
Parents for Great Camden Schools,To provide general operating support.,2017 - 2018,"$470,000"
Partners for College Affordability and Public Trust,To provide general operating support.,2018 - 2019,"$300,000"
"Partners for Developing Futures, Inc.","To help develop high-quality school leaders in New Orleans, Louisiana.",2012 - 2014,"$400,277"
"Partnership for Public Service, Inc.",To advance Pay for Success Financing.,2015 - 2017,"$169,571"
"Partnership for Public Service, Inc.",To identify measures that can improve operations at the Office of Management and Budget.,2016 - 2018,"$800,881"
"Patients for Affordable Drugs, Inc.",To provide operational support.,2017 - 2018,"$500,000"
"Patients for Affordable Drugs, Inc.",To provide operating support for the Patient-Centered Coalition Initiative.,2017 - 2020,"$2,144,000"
Pepperdine University,"To fund BetaGov, a project that supports practitioner-led randomized controlled trials related to criminal justice policies.",2016,"$243,953"
"Per Scholas, Inc.",To scale up Grantee's workforce development program that provides information technology training for low-income adults.,2018 - 2024,"$4,800,000"
Pew Charitable Trusts,To support the Public Sector Retirement Systems project.,2012 - 2014,"$4,850,000"
Pew Charitable Trusts,To support the development of common standards for gathering and reporting data on tax incentives for economic development.,2013 - 2016,"$2,215,000"
Pew Charitable Trusts,To support the Public Sector Retirement Systems project.,2015 - 2019,"$4,850,000"
Pew Charitable Trusts,To support efforts to improve state economic development programs by conducting research and providing technical assistance.,2016 - 2019,"$2,835,000"
Pew Charitable Trusts,To conduct research on electronic monitoring.,2015 - 2017,"$556,875"
Philadelphia Schools Project,"To support the implementation of a city-wide unified enrollment system for public schools in Philadelphia, Pennsylvania.",2018,"$425,000"
PHILO Finance Corporation,"To help develop high-quality schools for children in the Houston, Texas metro area.",2013,"$45,227"
Pivot Learning Partners,To conduct research on public pension plan and benefit obligations costs in the state of California.,2017 - 2019,"$601,087"
Police Executive Research Forum,To conduct research on police body-worn cameras.,2015 - 2018,"$224,782"
Police Executive Research Forum,To conduct research on police body-worn cameras.,2015 - 2017,"$294,630"
Police Foundation,To conduct research on eyewitness identification procedures.,2013 - 2014,"$25,684"
Police Foundation,To collect and analyze data regarding officer-involved shootings from major city police agencies.,2016 - 2019,"$254,627"
Police Foundation,"To fund a randomized controlled trial to evaluate procedural justice training and ""hot spot"" policing.",2016 - 2019,"Up To                    $1,797,680"
Police Foundation,To conduct research on police body-worn cameras.,2017 - 2019,"$369,654"
"Policy Innovators in Education Network, Inc.",To help improve K-12 education policies and practices at the state level.,2012 - 2014,"$1,000,000"
Potomac Healthcare Foundation,To conduct a pilot randomized controlled trial to evaluate an intervention to treat youth opioid addiction.,2017 - 2019,"$330,599"
"PowerMyLearning, Inc. (Computers for Youth Foundation, Inc.)",To support blended learning.,2013 - 2016,"$6,000,000"
President and Fellows of Harvard College,To educate key stakeholders about improving the treatment of opioid use disorders.,2017 - 2018,"$76,363"
President and Fellows of Harvard College,To support the operations of the Harvard HealthCare Markets and Regulations Lab.,2017 - 2021,"$9,753,699"
President and Fellows of Harvard College,To evaluate existing barriers to the introduction of generic drugs for opioid use disorder treatment to the market.,2018 - 2019,"$39,777"
President and Fellows of Harvard College,To identify reforms that address the unfair practices of for-profit colleges.,2015 - 2016,"$18,785"
President and Fellows of Harvard College,To evaluate policies intended to lower prices for health care services including a public option and price regulation.,2018 - 2019,"$195,493"
President and Fellows of Harvard College,To help develop a litigation strategy focused on ending deceptive practices in the for-profit college industry.,2016 - 2017,"$1,126,786"
President and Fellows of Harvard College,To evaluate the effects on spending and use of an employer-based reward program for patients that choose lower-priced healthcare providers.,2018 - 2020,"$227,796"
President and Fellows of Harvard College,To sponsor a conference on data sharing in medical clinical trials.,2014 - 2015,"$155,000"
President and Fellows of Harvard College,"To support the Center for Public Leadership's efforts to evaluate a series of low-cost, high-yield interventions.",2016,"$800,000"
President and Fellows of Harvard College,To support Harvard Law School's Legal Services Center in its efforts to challenge predatory lending practices in the for-profit college industry.,2017 - 2019,"$3,297,855"
President and Fellows of Harvard College,To provide technical support to community partners in state and local jurisdictions that are considering sugar-sweetened beverage taxes and other policies.,2018 - 2021,"$507,563"
President and Fellows of Harvard College,To provide general operating support to the Harvard Open Access Project.,2016 - 2018,"$725,000"
President and Fellows of Harvard College,To support the Harvard Kennedy School's Social Impact Bond Technical Assistance Lab.,2013 - 2015,"$551,134"
President and Fellows of Harvard College,To analyze the impact of patient assistance programs on prescription drug pricing in the United States.,2018 - 2021,"$147,197"
President and Fellows of Harvard College,To support a randomized controlled trial of the Public Safety Assessment.,2014 - 2017,"$24,000"
President and Fellows of Harvard College,"To fund the continuation of the Coding for Cancer initiative, the development of a plan to support future open innovation challenges, and the creation of a preliminary plan for an open innovation center that will coordinate future efforts across health care topics.",2016 - 2018,"$733,571"
President and Fellows of Harvard College,To support the Equality of Opportunity project.,2013 - 2016,"$380,000"
President and Fellows of Harvard College,To promote evidence-based decision making at all levels of government.,2015 - 2018,"$198,369"
President and Fellows of Harvard College,To support the Harvard Kennedy School's Center for Public Leadership.,2014,"$240,000"
President and Fellows of Harvard College,To conduct a randomized controlled trial of the Public Safety Assessment.,2015 - 2022,"Up To                    $157,566"
President and Fellows of Harvard College,To develop ideas for future experimental interventions related to housing voucher programs.,2015 - 2016,"$40,000"
President and Fellows of Harvard College,To create a database that will support research on the impact of charter school attendance on long-term educational outcomes for students.,2018 - 2020,"Up To                    $593,110"
President and Fellows of Harvard College,To fund grantee's Criminal Justice Policy Program.,2016 - 2020,"$1,017,058"
President and Fellows of Harvard College,To expand access to research about public sector retirement systems.,2015 - 2016,"$91,757"
President and Fellows of Harvard College,To support the Harvard Kennedy School's Government Performance Lab.,2015 - 2019,"$7,449,048"
President and Fellows of Harvard College,To conduct a randomized controlled trial on a teacher training program.,2015 - 2016,"$196,489"
President and Fellows of Harvard College,To conduct a randomized controlled trial on the effects of legal financial obligations on criminal defendants' recidivism and other life outcomes.,2017 - 2023,"$828,987"
President and Fellows of Harvard College,To promote best practices that can help governments achieve operational excellence in a cost-efficient manner.,2016 - 2017,"$80,749"
President and Fellows of Harvard College,To develop and support a network of government chief data officers.,2016 - 2018,"$2,141,762"
President and Fellows of Harvard College,"To help create the Access to Justice Lab, which will promote the use of rigorous evidence about what works in the legal system.",2016 - 2019,"$3,614,937"
President and Fellows of Harvard College,To conduct research on day fines in Germany.,2018 - 2020,"$339,034"
President and Fellows of Harvard College,To host a conference and support research on state pension underfunding.,2017 - 2018,"$25,000"
President and Fellows of Harvard College,To fund a low-cost randomized controlled trial of a cognitive behavioral therapy curriculum for youth participating in Job Corps.,2017 - 2023,"Up To                    $582,956"
President and Fellows of Harvard College,To conduct research and educate key stakeholders about the impact of local control on municipal public finance in Illinois.,2017 - 2018,"$89,888"
President and Fellows of Harvard College,To support a research fellow at the federal agency level to demonstrate new methods in state-federal research partnerships and behaviorally-informed interventions.,2018 - 2019,"$150,000"
President and Fellows of Harvard College,To support the Harvard Kennedy School's Social Impact Bond Technical Assistance Lab.,2013 - 2015,"$551,134"
President and Fellows of Harvard College,To analyze the impact of patient assistance programs on prescription drug pricing in the United States.,2018 - 2021,"$147,197"
President and Fellows of Harvard College,To support a randomized controlled trial of the Public Safety Assessment.,2014 - 2017,"$24,000"
President and Fellows of Harvard College,"To fund the continuation of the Coding for Cancer initiative, the development of a plan to support future open innovation challenges, and the creation of a preliminary plan for an open innovation center that will coordinate future efforts across health care topics.",2016 - 2018,"$733,571"
President and Fellows of Harvard College,To support the Equality of Opportunity project.,2013 - 2016,"$380,000"
President and Fellows of Harvard College,To promote evidence-based decision making at all levels of government.,2015 - 2018,"$198,369"
President and Fellows of Harvard College,To support the Harvard Kennedy School's Center for Public Leadership.,2014,"$240,000"
Pretrial Justice Institute,To develop an online database of news coverage related to pretrial reform.,2017 - 2019,"$181,750"
Pretrial Justice Institute,To conduct a scan of local pretrial policies and practices.,2018 - 2019,"$322,079"
Prevention Institute,"To equip public health advocates with tools, training, and technical assistance related to nutrition policies.",2017 - 2018,"$218,261"
"Pro Publica, Inc.",To support investigative journalism in the public interest.,2013 - 2015,"$2,000,000"
"Pro Publica, Inc.",To support investigative journalism in the public interest.,2015 - 2017,"$2,000,000"
Providence Health & Services Oregon,To conduct a two-stage randomized controlled trial designed to assess the short- and long-term impacts of recovery housing on opioid use.,2017 - 2018,"$40,174"
Public Health Management Corporation,To develop and study a pre-booking police protocol that diverts substance-involved offenders in Philadelphia to treatment.,2017 - 2018,"$382,840"
Public Health Management Corporation,"To study the integration of trained ""Peer Recovery Specialists"" into Philadelphia's adult drug treatment court.",2016 - 2019,"$490,039"
Public Justice Foundation,To support strategic litigation to combat the criminalization of poverty.,2018 - 2021,"$582,451"
Public Policy Institute of California,To analyze more than thirty years of arrest data from the State of California.,2018 - 2020,"$800,675"
"Public.Resource.Org, Inc.",To support programs aimed at placing edicts and works of government that have been erroneously assigned copyright protection into the public domain.,2016 - 2018,"$250,000"
RAND Corporation,To analyze information about public pension systems.,2016 - 2020,"$88,346"
RAND Corporation,To conduct research on gun policy and develop tools to support public education and discourse.,2018 - 2021,"$3,141,269"
RAND Corporation,"To conduct a randomized controlled trial in Allegheny County, Pennsylvania on the impact of having a public defender at a criminal defendant's preliminary arraignment.",2018 - 2022,"$713,859"
RAND Corporation,To provide support for the National Collaborative on Gun Violence Research.,2018 - 2023,"Up To                    $2,297,268"
Reason Foundation,To expand access to information about public sector retirement systems.,2013 - 2017,"$2,013,000"
Reason Foundation,"To support a multifaceted research, technical assistance, policy, and educational outreach project aimed at improving state and municipal pension systems.",2016 - 2018,"$1,500,000"
Reason Foundation,"To support a technical assistance, research, and educational outreach project aimed at improving state and municipal pension systems.",2017 - 2020,"Up To                    $4,000,000"
Recovery School District,"To help develop high-quality teachers in New Orleans, Louisiana.",2011 - 2012,"$50,000"
Regents of the University of Colorado,To research the long-term impacts of the Nurse Family Partnership program.,2016 - 2017,"$76,238"
Regents of the University of Colorado,To fund a follow-up randomized controlled trial comparing full-day preschool to half-day preschool.,2018 - 2024,"$489,628"
Regents of the University of Colorado,To expand the Blueprints for Healthy Youth Development initiative.,2016 - 2019,"$3,000,000"
Regents of the University of Minnesota,To support efforts to improve the quality of health care news and information available to consumers.,2016 - 2019,"$1,660,000"
Regents of the University of Minnesota,To conduct a randomized controlled trial on the impact of a grocery assistance program in Minnesota,2017 - 2020,"$1,794,765"
Regents of the University of Minnesota,To support the Heller-Hurwicz Economics Institute.,2017 - 2019,"Up To                    $473,500"
Regents of the University of Minnesota,To review research related to community corrections policies and practices.,2018 - 2019,"$103,990"
Regents of the University of Minnesota,To help establish a center that will improve the quality of health care news and information available to consumers.,2014 - 2017,"$1,239,273"
Relay Graduate School of Education,"To help develop high-quality teachers in New Orleans, Louisiana.",2012 - 2016,"$2,500,000"
Relay Graduate School of Education,"To help develop high-quality teachers in Camden, New Jersey.",2015 - 2018,"$495,250"
Research Foundation of the City University of New York,To fund the Misdemeanor Justice Project.,2015 - 2019,"$872,587"
Research Foundation of the City University of New York,To study how to help individuals who are frequently involved with both the criminal justice and health care systems.,2016 - 2017,"$400,693"
Research Foundation of the City University of New York,To create the Research Network on Misdemeanor Justice.,2016 - 2020,"$3,258,912"
Research Foundation of the City University of New York,To support the Institute for Innovation in Prosecution at John Jay College of Criminal Justice.,2018 - 2019,"$163,515"
Research Foundation of the City University of New York,To educate journalists about fines and fees issues in the criminal justice system.,2018 - 2020,"$297,126"
Research Foundation of the City University of New York,To support the Institute for State and Local Governance.,2018 - 2020,"$299,793"
Research Foundation of the City University of New York,To support the Misdemeanor Justice Project at John Jay College.,2018 - 2021,"$1,760,889"
Research Foundation of the City University of New York,"To fund a low-cost randomized controlled trial of Accelerate, Compete, and Engage, a program that provides academic, personal, and financial supports to predominantly low-income, full-time college students.",2018 - 2024,"$265,152"
Research Foundation of the City University of New York,To convene a roundtable on pretrial best practices.,2014 - 2016,"$199,996"
Research Foundation of the City University of New York,To fund the Misdemeanor Justice Project.,2014 - 2016,"$272,023"
Research Foundation of the City University of New York,To develop a research agenda for pretrial criminal justice and evaluate research proposals.,2015 - 2016,"$232,151"
Research Triangle Institute,To conduct a rigorous evaluation of a harm reduction program for individuals with opioid use disorder.,2017 - 2020,"Up To                    $1,677,008"
Research Triangle Institute,To help establish a National Forensic Science Academy.,2016 - 2017,"$249,266"
Research Triangle Institute,To conduct a rigorous evaluation of a harm reduction program for individuals with opioid use disorder.,2017 - 2020,"Up To                    $1,677,008"
Research Triangle Institute,To evaluate two programs aimed at making the process used to analyze sexual assault kit evidence more efficient.,2015 - 2016,"$77,224"
Resources Legacy Fund,To launch the Student Borrower Protection Center and the Student Loan Law Project.,2018 - 2022,"$2,749,534"
Results for America,"To serve as a nonpartisan, educational resource on the use of data and evidence in policymaking.",2017 - 2018,"$500,000"
Results for America,To support Results for America projects that advance government's use of evidence and data.,2017 - 2019,"$2,715,897"
Retirement Security Foundation,To support the development of a strategic plan for the launch of a new nonprofit organization.,2018 - 2019,"$694,996"
Rhode Island Hospital,To support a randomized controlled trial of a emergency department intervention to treat patients who are admitted for opioid overdose.,2018 - 2022,"$801,819"
"Roca, Inc.",To develop and evaluate a cognitive behavioral therapy curriculum for young men at risk of becoming involved in the criminal justice system.,2015 - 2017,"$677,289"
"Roca, Inc.",To implement and evaluate a cognitive behavior therapy skills development curriculum.,2018 - 2020,"$734,583"
"Roca, Inc.",To support an extension of the Massachusetts Juvenile Justice Pay for Success Project.,2016 - 2023,"Up To                    $1,666,689"
Rutgers University Foundation,To evaluate the effectiveness of New Jersey's Opioid Overdose Recovery Program in linking opioid overdose survivors to medication-assisted treatment.,2018 - 2019,"$220,000"
"SAGA Innovations, Inc.",To develop and implement a literacy tutoring program for at-risk students in elementary school.,2017 - 2018,"$175,000"
"SAGA Innovations, Inc.",To develop and implement a literacy tutoring program for at-risk students in elementary school.,2016 - 2017,"$465,400"
Sage Bionetworks,To fund the digital mammography portion of the Coding for Cancer challenge.,2015 - 2018,"$914,634"
Salk Institute for Biological Studies,To improve the accuracy of eyewitness identifications.,2017 - 2019,"$411,787"
San Diego Regional Chamber Foundation,"To evaluate the impact of Proposition B, a 2012 pension reform initiative in San Diego, in order to educate other cities and the general public.",2016 - 2017,"$50,000"
"San Francisco Pretrial Diversion Project, Inc.","To deliver training on pretrial decisions, risk assessment, and implementation of the Public Safety Assessment.",2018 - 2019,"$25,000"
San Mateo County Community College District,To support the replication of the City University of New York's Accelerated Study in Associate Programs at Skyline College.,2017 - 2019,"$836,607"
"SEARCH Group, Inc.",To build a research agenda for a broad spectrum of criminal justice issues.,2018 - 2019,"$35,000"
Sense About Science,To inform the public about the value of greater transparency for clinical trials in medicine and other scientific domains.,2014 - 2017,"$1,536,102"
Sense About Science,To help preserve rigorous regulatory standards designed to ensure clinical trial transparency.,2015 - 2017,"$63,638"
ServeMinnesota,To fund a low-cost randomized controlled trial of Minnesota Math Corps.,2017 - 2018,"$191,051"
Shatterproof,To pilot a public online rating system for substance use disorder treatment programs.,2018 - 2021,"$1,317,180"
"Silicon Schools Fund, Inc.",To provide general operating support and help improve K-12 education in the Bay Area of California.,2016 - 2018,"$1,950,000"
"Silicon Schools Fund, Inc.",To support blended learning.,2013 - 2015,"$2,000,000"
"Silicon Schools Fund, Inc.",To support blended learning.,2014 - 2017,"$2,000,000"
Simon Fraser University,To support the Public Knowledge Project.,2017 - 2018,"$70,037"
"Small Business Majority Foundation, Inc.",To support employer outreach and education about the CalSavers state auto-IRA program.,2018 - 2019,"$486,933"
Social Finance CT**,To support the Connecticut Family Stability Pay for Success Project.,2016 - 2022,"$1,000,000"
Social Finance NY State Workforce Re-Entry 2013 LLC**,To advance Pay for Success Financing.,2013 - 2019,"$4,000,000"
"Social Finance, Inc.",To advance Pay for Success Financing.,2014 - 2015,"$148,598"
"Social Finance, Inc.",To advance Pay for Success Financing.,2014 - 2017,"$4,000,000"
Social Science Research Council,To provide general operating support for the Social Media and Democracy Initiative.,2018 - 2019,"$1,650,000"
Society for Research on Educational Effectiveness,To support a randomized controlled trial evaluating methods to increase the number of studies registered in the Registry of Efficacy and Effectiveness Studies.,2018 - 2019,"$79,583"
"Southern Poverty Law Center, Inc.",To create a network that will help advocates and researchers maximize court-debt reform efforts.,2015 - 2018,"$274,582"
"Southern Poverty Law Center, Inc.",To help reduce the incarceration of indigent defendants detained solely because they are unable to pay court-imposed fines and fees.,2015 - 2018,"$884,438"
"Southern Poverty Law Center, Inc.",To support a court-debt advocacy network.,2018 - 2021,"$330,435"
"Southern Poverty Law Center, Inc.",To support litigation and public education efforts concerning indigent incarceration and drivers' license suspensions.,2018 - 2021,"$3,319,159"
"Spiros Protopsaltis, LLC",To conduct research and analysis on online higher education.,2018 - 2019,"$30,000"
Stand for Children Leadership Center,To help establish the Stand for Children Leadership Center in Texas.,2011 - 2012,"$450,000"
Stand for Children Leadership Center,"To provide general operating support and to promote parent engagement efforts in New Orleans, Louisiana.",2011 - 2012,"$1,650,000"
Stand for Children Leadership Center,"To provide general operating support and to promote parent engagement efforts in Houston, Texas.",2011 - 2013,"$1,000,000"
Stand for Children Leadership Center,To help the grantee establish an office in Louisiana.,2011 - 2014,"$2,250,000"
Stand for Children Leadership Center,To promote parent and community engagement in the state of Indiana.,2012 - 2013,"$290,000"
Stand for Children Leadership Center,To provide general operating support and help improve K-12 education in the state of Louisiana.,2014 - 2017,"$1,000,000"
State of California Secure Choice Retirement Savings Program Fund,To support the California Secure Choice Retirement Savings Investment Board's studies on retirement security for private sector workers.,2014 - 2015,"$500,000"
State of Connecticut,To assist the state in addressing retirement security for private sector workers who lack access to workplace retirement savings plans.,2015,"$250,000"
State of New Jersey Judiciary,To support data collection efforts for evaluations of pretrial reforms in New Jersey.,2017,"$262,416"
Statistica Analyticae Limited,To conduct a large-scale randomized controlled trial on the effects of body-worn cameras used by the Los Angeles County Sheriff's Department.,2017 - 2020,"Up To                    $2,414,330"
"Stealth Software Technologies Commercial, Inc.","To support the development of free, open-source cryptographic tools that will allow researchers to securely conduct studies that use sensitive, private datasets.",2017 - 2020,"$1,996,840"
"Students for Education Reform, Inc.",To help develop high-quality school leaders in the state of Louisiana.,2012 - 2014,"$1,533,196"
StudentsFirst Institute,To provide general operating support.,2015,"$350,000"
StudentsFirst Institute,To improve K-12 public education.,2011 - 2013,"$7,000,000"
StudentsFirst Institute,To improve K-12 public education.,2014 - 2015,"$500,000"
T1International,"To provide operating support for grantee's efforts to educate the public, patients, and key stakeholders about rising prescription drug prices.",2018 - 2020,"$182,799"
"Teach For America, Inc.",To research the impact of Teach For America corps members in the state of Texas.,2012,"$137,908"
"Teach For America, Inc.","To recruit talented teachers and school leaders in Houston, Texas.",2011 - 2012,"$2,000,000"
"Teach For America, Inc.","To recruit talented teachers and school leaders in New Orleans, Louisiana.",2012 - 2014,"$4,500,000"
"Teach For America, Inc.","To recruit talented teachers and school leaders in New Orleans, Louisiana.",2014 - 2016,"$2,310,635"
"Teach For America, Inc.","To recruit talented teachers and school leaders in Camden, New Jersey.",2016 - 2018,"$533,826"
"Teacher Town USA, Inc.","To promote high-quality school options in Memphis, Tennessee.",2016 - 2017,"$250,000"
"Teacher Town USA, Inc.","To promote high-quality school options in Memphis, Tennessee.",2016 - 2018,"$1,180,000"
"Teacher Town USA, Inc.","To promote high-quality school options in Memphis, Tennessee.",2016 - 2018,"$3,500,000"
"Teachers College, Columbia University",To support efforts to improve academic achievement for students from low-income families.,2014 - 2019,"$97,000"
"Teachers College, Columbia University",To test four interventions aimed at helping families enrolled in the Section 8 Housing Choice Voucher program find housing in neighborhoods that promote economic opportunity.,2017 - 2021,"Up To                    $318,516"
"Technical Assistance Collaborative, Inc.",To develop an educational resource guide to assist State Medicaid Agencies in their efforts to address the opioid crisis.,2018 - 2019,"$85,721"
Temple University,To examine the impact of body-worn cameras on prosecutorial misdemeanor filing decisions in Los Angeles.,2016 - 2018,"$89,684"
Temple University,To develop a tool that provides targeted services to people who are frequently involved with both the criminal justice and health care systems.,2016 - 2019,"$302,020"
Temple University,"To support a randomized controlled trial of Tacoma Housing Authority's College Housing Assistance Program, which provides rental assistance vouchers to students at risk of homelessness.",2018 - 2023,"Up To                    $331,050"
Texas Association of Business & Chambers of Commerce Foundation,To provide general operating support.,2011,"$75,000"
Texas Charter Schools Association,To promote high-quality school options in the state of Texas.,2011 - 2012,"$150,000"
Texas Institute for Education Reform,To provide general operating support.,2011,"$125,000"
Texas Institute for Education Reform,To improve student achievement in Texas.,2013,"$80,000"
Texas Public Policy Foundation,To raise awareness about community supervision practices and reforms.,2018 - 2020,"$699,920"
